release_year,avg_popularity,avg_danceability,avg_energy,avg_key,avg_loudness,avg_mode,avg_speechiness,avg_acousticness,avg_instrumentalness,avg_liveness,avg_valence,avg_tempo
2004,46.328947368421055,0.4923157894736842,0.7686447368421052,5.434210526315789,-6.290105263157895,0.6578947368421053,0.06466842105263158,0.11269742236842105,0.03851629407894737,0.17977236842105263,0.45259473684210527,122.74102631578947
2005,39.152542372881356,0.537271186440678,0.7660254237288135,5.872881355932203,-6.479161016949153,0.6610169491525424,0.06011186440677966,0.15018430932203392,0.07036191788135593,0.233764406779661,0.568635593220339,125.41142372881356
2006,49.19101123595506,0.48952808988764046,0.8036741573033708,5.842696629213483,-5.079685393258427,0.7303370786516854,0.06690674157303371,0.10450459584269663,0.05024931280898877,0.20995168539325842,0.5164651685393259,131.49867415730338
2007,34.4078947368421,0.5448552631578948,0.7547236842105263,5.934210526315789,-6.26446052631579,0.6973684210526315,0.048119736842105264,0.17467807763157894,0.032874254473684215,0.1871171052631579,0.5861592105263158,125.7136447368421
2008,27.732758620689655,0.5078275862068965,0.7782586206896551,5.241379310344827,-6.432155172413793,0.7155172413793104,0.05667758620689655,0.1253117051724138,0.06738991715517241,0.2107844827586207,0.5925715517241379,132.44812068965518
2009,33.42622950819672,0.5068360655737705,0.7315868852459017,5.245901639344262,-7.503918032786885,0.7049180327868853,0.05067213114754098,0.1363270868852459,0.12152501180327868,0.20147540983606557,0.5406655737704918,126.2250655737705
2010,40.77922077922078,0.5412467532467532,0.7848181818181819,5.103896103896104,-6.569402597402597,0.7532467532467533,0.07179350649350649,0.11063905714285714,0.10917759506493507,0.17565454545454545,0.557974025974026,125.60328571428572
2011,40.72857142857143,0.5072714285714286,0.8071857142857143,5.385714285714286,-5.470942857142857,0.6571428571428571,0.06915857142857143,0.08591025942857143,0.031807144714285716,0.22230571428571427,0.5012357142857143,121.44381428571428
2012,37.319148936170215,0.5024255319148936,0.7797234042553192,5.361702127659575,-6.004170212765957,0.5531914893617021,0.06327021276595744,0.08993607170212767,0.11508013127659575,0.21928297872340424,0.46797659574468087,133.67751063829786
2013,44.351063829787236,0.5120531914893617,0.799468085106383,5.51063829787234,-6.016787234042553,0.6914893617021277,0.07249574468085106,0.10420360244680851,0.11047083585106383,0.1998212765957447,0.48521914893617024,121.08596808510639
2014,36.50632911392405,0.47348101265822784,0.7064556962025317,5.7215189873417724,-7.064860759493671,0.620253164556962,0.059069620253164555,0.16621912746835443,0.13343638620253165,0.1954392405063291,0.372220253164557,124.37440506329114
2015,43.228070175438596,0.5314035087719299,0.8022456140350878,5.421052631578948,-5.761842105263158,0.631578947368421,0.06466491228070176,0.1175154052631579,0.05687271157894737,0.2098298245614035,0.5311754385964912,121.25766666666667
2016,42.04615384615385,0.5308,0.7135076923076923,5.569230769230769,-7.110430769230769,0.6,0.05646307692307692,0.22046845692307693,0.1313895913846154,0.18777384615384615,0.47876615384615384,124.60269230769231
2017,45.82666666666667,0.4938,0.7210133333333333,5.373333333333333,-6.79616,0.6,0.067504,0.15048493186666667,0.113631896,0.20830133333333334,0.384308,125.74629333333333
2018,47.11538461538461,0.5201826923076923,0.7885769230769231,5.413461538461538,-5.719576923076923,0.6730769230769231,0.07926346153846155,0.07402434528846154,0.06406245951923077,0.20512980769230768,0.4687673076923077,129.35516346153847
2019,44.846774193548384,0.5065201612903226,0.8147669354838709,5.379032258064516,-5.429512096774194,0.6491935483870968,0.07572137096774194,0.0757705147983871,0.06189795375,0.2098758064516129,0.44055080645161293,129.26631451612903
2020,54.56818181818182,0.4951590909090909,0.72375,4.7727272727272725,-5.911818181818182,0.7045454545454546,0.07270227272727273,0.11431067045454546,0.05580263159090909,0.21847272727272726,0.45538181818181817,130.1660909090909
2021,46.608695652173914,0.4589130434782609,0.7449130434782608,5.695652173913044,-5.51295652173913,0.8260869565217391,0.0471,0.1535740352173913,0.04667070347826087,0.24984347826086956,0.46108695652173914,132.33065217391305
2022,61.892857142857146,0.5136785714285714,0.7980357142857143,4.464285714285714,-5.624535714285714,0.6428571428571429,0.0787,0.13873110714285714,0.08441677857142857,0.23484285714285713,0.5025,121.68907142857142
2023,49.833333333333336,0.5180686274509804,0.811735294117647,5.686274509803922,-5.201117647058823,0.7058823529411765,0.0710107843137255,0.053134598039215684,0.044336534313725494,0.20183627450980393,0.4946598039215686,130.70799019607844
